stamp;x;y;z
07/11/2020 12.29.53;-2,6288335;-7,1969705;5,1547165
07/11/2020 12.29.53;-2,980781;-8,340201;6,757634
07/11/2020 12.29.53;-3,0502129;-7,3106947;6,291962
07/11/2020 12.29.53;-3,8774097;-7,563283;5,5497594
07/11/2020 12.29.53;-3,252523;-7,571663;5,294777
07/11/2020 12.29.53;-2,5127146;-8,488642;6,3338604
07/11/2020 12.29.53;-2,493561;-8,608353;5,7281275
07/11/2020 12.29.53;-3,466804;-8,0684595;5,8382607
07/11/2020 12.29.53;-3,7373488;-6,373365;4,9799395
07/11/2020 12.29.53;-2,3116016;-8,076839;6,3865333
07/11/2020 12.29.53;-2,9951463;-8,070854;6,611588
07/11/2020 12.29.53;-2,919729;-7,445967;5,5485625
07/11/2020 12.29.53;-3,9324763;-7,848193;5,103241
07/11/2020 12.29.53;-2,9053638;-7,973889;6,3925185
07/11/2020 12.29.53;-2,4947581;-7,405266;5,935226
07/11/2020 12.29.53;-3,6535518;-7,823054;6,38773
07/11/2020 12.29.53;-3,9588125;-6,634333;5,2983685
07/11/2020 12.29.53;-2,5031378;-8,032547;6,314707
07/11/2020 12.29.53;-2,6910827;-7,8422074;6,2871737
07/11/2020 12.29.53;-2,9161377;-7,61835;6,0441623
07/11/2020 12.29.53;-4,128801;-7,690176;5,151125
07/11/2020 12.29.53;-2,8790276;-7,615956;5,8119245
07/11/2020 12.29.53;-2,4420857;-8,062474;5,919664
07/11/2020 12.29.53;-2,6551697;-8,985439;5,920861
07/11/2020 12.29.53;-3,6846764;-7,53575;5,069722
07/11/2020 12.29.53;-2,3690627;-7,429208;4,501099
07/11/2020 12.29.53;-2,8526914;-8,676587;6,145916
07/11/2020 12.29.53;-2,657564;-8,652645;5,625177
07/11/2020 12.29.53;-3,3159695;-7,848193;4,6232033
07/11/2020 12.29.53;-2,718616;-7,2927384;5,519832
07/11/2020 12.29.53;-2,7006595;-8,269572;6,099229
07/11/2020 12.29.53;-3,0095115;-8,59279;6,1662664
07/11/2020 12.29.53;-3,738546;-7,28795;5,85502
07/11/2020 12.29.53;-3,1280246;-6,5960255;5,765238
07/11/2020 12.29.53;-3,2501287;-7,727286;7,6865845
07/11/2020 12.29.53;-3,252523;-6,621165;6,7253127
07/11/2020 12.29.53;-3,6822822;-6,6044054;6,4248405
07/11/2020 12.29.53;-3,8750155;-7,0186024;5,9926867
07/11/2020 12.29.53;-2,9652188;-6,7600284;6,56131
07/11/2020 12.29.53;-2,9173348;-7,491457;6,64391
07/11/2020 12.29.53;-3,2465374;-7,4028716;6,265626
07/11/2020 12.29.53;-2,9999347;-7,5920134;5,985504
07/11/2020 12.29.53;-3,0119057;-8,379706;6,38773
07/11/2020 12.29.53;-2,790442;-7,539341;5,8909335
07/11/2020 12.29.53;-2,9161377;-7,369353;6,0345855
07/11/2020 12.29.53;-3,1663318;-7,489063;6,2464724
07/11/2020 12.29.53;-3,2549171;-7,5082164;6,491878
07/11/2020 12.29.53;-3,2333694;-7,1071877;6,537368
07/11/2020 12.29.53;-3,1364043;-6,9647326;6,477513
07/11/2020 12.29.53;-3,2944214;-7,192182;6,633136
07/11/2020 12.29.53;-3,074155;-7,428011;6,167464
07/11/2020 12.29.53;-2,8658595;-7,639898;5,8921304
07/11/2020 12.29.53;-2,8550856;-7,8996687;5,887342
07/11/2020 12.29.53;-3,1196449;-8,42759;6,0728927
07/11/2020 12.29.53;-3,1735144;-7,6494746;5,9507885
07/11/2020 12.29.53;-3,6499605;-6,7121444;6,183026
07/11/2020 12.29.53;-3,6367924;-6,706159;6,18542
07/11/2020 12.29.53;-3,0071173;-6,9850836;7,0952168
07/11/2020 12.29.53;-3,2429461;-7,0832458;6,5481415
